run_id,token,time_s,phase,num_alive_uavs,avg_energy_used_j,min_energy_j,failure_history
recovery-49be0b3a,0,0.0,pre_failure,12,0.0,130736.08882052616,[]
recovery-49be0b3a,1,0.08041618556415199,pre_failure,12,12.354854533293596,130723.46634277124,[]
recovery-49be0b3a,2,0.16083237112830398,pre_failure,12,24.70970906658719,130710.84386501632,[]
recovery-49be0b3a,3,0.24124855669245598,pre_failure,12,37.064563599880785,130698.2213872614,[]
recovery-49be0b3a,4,0.32166474225660796,pre_failure,12,49.41941813317438,130685.59890950647,[]
recovery-49be0b3a,5,0.40208092782075994,pre_failure,12,61.77427266646797,130672.97643175155,[]
recovery-49be0b3a,6,0.4824971133849119,pre_failure,12,74.12912719976157,130660.35395399663,[]
recovery-49be0b3a,7,0.562913298949064,pre_failure,12,86.48398173305516,130647.73147624171,[]
recovery-49be0b3a,8,0.6433294845132159,pre_failure,12,98.83883626634876,130635.10899848679,[]
recovery-49be0b3a,9,0.7237456700773679,pre_failure,12,111.19369079964235,130622.48652073187,[]
recovery-49be0b3a,10,0.8041618556415199,pre_failure,12,123.54854533293594,130609.86404297694,[]
recovery-49be0b3a,11,0.8845780412056719,pre_failure,12,135.90339986622953,130597.24156522202,[]
recovery-49be0b3a,12,0.9649942267698238,pre_failure,12,148.25825439952314,130584.6190874671,[]
recovery-49be0b3a,13,1.0454104123339758,pre_failure,12,160.61310893281674,130571.99660971218,[]
recovery-49be0b3a,14,1.125826597898128,pre_failure,12,172.96796346611032,130559.37413195726,[]
recovery-49be0b3a,15,1.20624278346228,pre_failure,12,185.32281799940392,130546.75165420234,[]
recovery-49be0b3a,16,1.286658969026432,pre_failure,12,197.67767253269753,130534.12917644742,[]
recovery-49be0b3a,17,1.3670751545905842,pre_failure,12,210.0325270659911,130521.5066986925,[]
recovery-49be0b3a,18,1.4474913401547362,pre_failure,12,222.3873815992847,130508.88422093757,[]
recovery-49be0b3a,19,1.5279075257188883,pre_failure,12,234.7422361325783,130496.26174318265,[]
recovery-49be0b3a,20,1.6083237112830404,pre_failure,12,247.0970906658719,130483.63926542773,[]
recovery-49be0b3a,21,1.6887398968471925,pre_failure,12,259.4519451991655,130471.01678767281,[]
recovery-49be0b3a,22,1.7691560824113446,pre_failure,12,271.80679973245907,130458.39430991789,[]
recovery-49be0b3a,23,1.8495722679754967,pre_failure,12,284.1616542657527,130445.77183216297,[]
recovery-49be0b3a,24,1.9299884535396488,pre_failure,12,296.5165087990463,130433.14935440804,[]
recovery-49be0b3a,25,2.010404639103801,pre_failure,12,308.87136333233985,130420.52687665312,[]
recovery-49be0b3a,26,2.090820824667953,pre_failure,12,321.2262178656335,130407.9043988982,[]
recovery-49be0b3a,27,2.171237010232105,pre_failure,12,333.58107239892706,130395.28192114328,[]
recovery-49be0b3a,28,2.251653195796257,pre_failure,12,345.93592693222064,130382.65944338836,[]
recovery-49be0b3a,29,2.332069381360409,pre_failure,12,358.29078146551427,130370.03696563344,[]
recovery-49be0b3a,30,2.4124855669245613,pre_failure,12,370.64563599880785,130357.41448787852,[]
recovery-49be0b3a,31,2.4929017524887134,pre_failure,12,383.0004905321014,130344.7920101236,[]
recovery-49be0b3a,32,2.5733179380528655,pre_failure,12,395.35534506539506,130332.16953236867,[]
recovery-49be0b3a,33,2.6537341236170175,pre_failure,12,407.71019959868863,130319.54705461375,[]
recovery-49be0b3a,34,2.7341503091811696,pre_failure,12,420.0650541319822,130306.92457685883,[]
recovery-49be0b3a,35,2.8145664947453217,pre_failure,12,432.41990866527584,130294.30209910391,[]
recovery-49be0b3a,36,2.894982680309474,pre_failure,12,444.7747631985694,130281.67962134899,[]
recovery-49be0b3a,37,2.975398865873626,pre_failure,12,457.129617731863,130269.05714359407,[]
recovery-49be0b3a,38,3.055815051437778,pre_failure,12,469.4844722651566,130256.43466583914,[]
recovery-49be0b3a,39,3.13623123700193,pre_failure,12,481.8393267984502,130243.81218808422,[]
recovery-49be0b3a,40,3.216647422566082,pre_failure,12,494.1941813317438,130231.1897103293,[]
recovery-49be0b3a,41,3.2970636081302342,pre_failure,12,506.5490358650374,130218.56723257438,[]
recovery-49be0b3a,42,3.3774797936943863,pre_failure,12,518.903890398331,130205.94475481946,[]
recovery-49be0b3a,43,3.4578959792585384,pre_failure,12,531.2587449316246,130193.32227706454,[]
recovery-49be0b3a,44,3.5383121648226905,pre_failure,12,543.6135994649181,130180.69979930962,[]
recovery-49be0b3a,45,3.6187283503868426,pre_failure,12,555.9684539982118,130168.0773215547,[]
recovery-49be0b3a,46,3.6991445359509947,pre_failure,12,568.3233085315054,130155.45484379977,[]
recovery-49be0b3a,47,3.7795607215151468,pre_failure,12,580.6781630647989,130142.83236604485,[]
recovery-49be0b3a,48,3.859976907079299,pre_failure,12,593.0330175980926,130130.20988828993,[]
recovery-49be0b3a,49,3.940393092643451,pre_failure,12,605.3878721313862,130117.58741053501,[]
recovery-49be0b3a,50,4.020809278207603,pre_failure,12,617.7427266646797,130104.96493278009,[]
recovery-49be0b3a,51,4.101225463771755,pre_failure,12,630.0975811979733,130092.34245502517,[]
recovery-49be0b3a,52,4.181641649335907,pre_failure,12,642.452435731267,130079.71997727024,[]
recovery-49be0b3a,53,4.262057834900059,pre_failure,12,654.8072902645605,130067.09749951532,[]
recovery-49be0b3a,54,4.342474020464211,pre_failure,12,667.1621447978541,130054.4750217604,[]
recovery-49be0b3a,55,4.422890206028363,pre_failure,12,679.5169993311478,130041.85254400548,[]
